Rank,Name,Obj#,LHS,RA (2000.0),DEC (2000.0),"PM (""/yr)",Angle,Parallax,,Error,Spectral Type,V,Mv,Mass,common name
10,GJ 887,1,70,23 05 52.0,-35 51 11,6.896,78.9,0.30508,10.6909663039203,0.0007,M1.0 V,7.34,9.76,0.53,Lacaille 9352
11,GJ 447,1,315,11 47 44.4,+00 48 16,1.361,153.6,0.29814,10.9398269269471,0.00137,M4.0 V,11.16,13.53,0.16,Ross 128
12,GJ 866 A,3,68,22 38 33.4,-15 18 07,3.254,46.6,0.2895,11.2663212435233,0.0044,M5.0 V,13.03,15.33,0.11,EZ Aquarii A
13,GJ 820 A,2,62,21 06 53.9,+38 44 58,5.281,51.9,0.28608,11.4010067114094,0.00048,K5.0 V,5.2,7.48,0.7,61 Cygni A
14,GJ 280 A,2,233,07 39 18.1,+05 13 30,1.259,214.7,0.28517,11.4373882245678,0.00064,F5 IV-V,0.37,2.65,1.57,Procyon
15,GJ 725 A,2,58,18 42 46.7,+59 37 49,2.238,323.6,0.28383,11.4913856886164,0.00146,M3.0 V,8.9,11.17,0.35,Struve 2398 A
16,GJ 15 A,2,3,00 18 22.9,+44 01 23,2.918,81.9,0.27987,11.6539822060242,0.0006,M1.5 V,8.08,10.31,0.49,GX Andromedae
17,GJ 845 A,3,67,22 03 21.7,-56 47 10,4.704,122.7,0.27607,11.8143948998442,0.00028,K4.0 V,4.68,6.89,0.77,epsilon Indi A
18,GJ 1111,1,248,08 29 49.5,+26 46 37,1.29,242.2,0.2758,11.8259608411893,0.003,M6.0 V,14.9,17.1,0.09,DX Cancri
19,GJ 71,1,146,01 44 04.1,-15 56 15,1.922,296.4,0.27397,11.9049530970544,0.00017,G8.5 V,3.49,5.68,0.92,tau Ceti
